title,publish_date,text,rank
"This New Altcoin Has Surged, While Shiba Inu (SHIB) and Bonk (BONK) Prices Attempt Recovery",2024-01-09 14:08:50+00:00,"[{'summary_text': 'Shiba Inu’s (SHIB) Automatic Burns: Will They Stop the Price Slide? This transition, set to begin in January 2024, aims to reduce the circulating supply of Shibarium tokens, and potentially increase their value . Over the past week, Shib A. has shed over 13% despite the attempted recovery in the past 24 hours .'}]",negative
Binance’s New CEO Richard Teng: The Key Factors That Will Drive Mass Adoption in 2024 (Interview),2023-11-25 12:12:28+00:00,"[{'summary_text': 'Richard Teng has taken the position of Binance’s new CEO . In our interview, Teng reminisced that the quick foray of cryptocurrencies in traditional finance circles fascinated him . He said Binance is committed to investing in infrastructure, human, and intellectual talent .'}]",neutral
Crypto Market Sees Largest Liquidations Since August 2023 as BTC ETF Approval Looms: Bitfinex,2024-01-09 11:17:03+00:00,"[{'summary_text': 'The crypto market witnessed one of its largest liquidations on January 3, 2024 . BTC’s fall triggered the largest wave of liquidations since August 2023 . Bitcoin’s 11% plunge earlier this month saw the asset tumble from $45,400 to $40,400 within a few hours .'}]",very negative
Crypto Markets Add $100B Daily as Bitcoin (BTC) Soared to 21-Month High (Market Watch),2024-01-09 09:12:59+00:00,"[{'summary_text': 'BTC initiated jumped on two separate occasions yesterday, but the second took the asset above $47,000 for the first time since early April 2022 . Most altcoins are also in the green today, which has helped the total market cap gain roughly $100 billion within 24 hours . The cumulative market capitalization of all crypto assets has gained approximately $100 billion overnight and is up to $1.720 trillion .'}]",very positive
Why Bitcoin (BTC) at $1 Million Could Cause Max Pain for Some,2024-01-09 07:01:16+00:00,"[{'summary_text': 'Bitcoin pioneer Samson Mow is confident that the price for one BTC will reach a million dollars in the future . But if this happens sooner rather than later, it will cause “max pain” for some people . “Bitcoin has a way of doing what we least expect and in the most disruptive way,” he said .'}]",positive
Crypto Payment Gateway CoinsPaid Hacked Yet Again,2024-01-09 05:18:52+00:00,"[{'summary_text': 'CoinsPaid claims to have processed more than 19 billion euros worth of crypto transactions . At the time, the firm ceased operations for four days while investigating the breach with the help of Binance, Chainalysis, and others .'}]",neutral
"Standard Chartered Predicts $200,000 BTC By End Of 2025",2024-01-08 23:55:40+00:00,"[{'summary_text': 'Standard Chartered projects Bitcoin (BTC) to reach $200,000 by the end of 2025 . The bank argued that Bitcoin spot ETFs may absorb $50 billion to $100 billion of flows within a year . As with the gold ETF, a Bitcoin equivalent would allow investors to gain easy, familiar access to the asset’s price without dealing with the complexity of storing the asset on their own .'}]",positive
"Bitcoin Adoption Soars with 6,332 Merchants on Board as of January 8",2024-01-08 20:57:27+00:00,"[{'summary_text': 'As of January 8, the current count of merchants accepting Bitcoin stands at 6,332 . Over the past year, the number of active locations has tripled from the January 2023 level of 2,000 . Further stats reveal that 5,535 businesses are open to on-chain transactions, 5,107 merchants are accepting Bitcoin Layer 2 solution Lightning for faster and cheaper payments .'}]",very positive
The Hidden Risk Of Bitcoin ETFs Nobody Is Talking About,2024-01-08 20:17:54+00:00,"[{'summary_text': 'Custodia Bank CEO Caitlin Long claims there’s a “hidden risk” surrounding a handful of Bitcoin ETFs . The Threat Of Securities Lending Long’s concerns swelled in response to an apparent race to the bottom on management fees . On Monday, BlackRock’s revised prospectus revealed that its management fee would be a modest 0.3% . Securities lending involves temporarily transferring shares or bonds to a borrower .'}]",negative
Bitcoin Price Explodes To $47k As BTC ETF Approval Deadline Looms,2024-01-08 19:20:48+00:00,"[{'summary_text': 'Bitcoin reclaimed $47,000 for the first time since March 2022 . As of Monday, Bitcoin is up 6.63% on the day, and over 10% since January 1 . Over $136 million in shorts on crypto trades have been liquidated in the past 24 hours .'}]",very positive
"Bizarre Week in Crypto: $66,000 Spent to Inscribe Secret Message on Bitcoin",2024-01-08 19:07:40+00:00,"[{'summary_text': 'In a bizarre turn of events within the crypto industry, an anonymous wallet spent 1.5 BTC or about $66,000 to inscribe encrypted data onto the #Bitcoin blockchain . Through 332 transactions, the wallet exhausted BTC equivalent to $66,000 at current market prices, embedding nearly 9 megabytes of encrypted data into the blockchain. It is important to understand that Inscriptions on Bitcoin can never be erased, and the latest encrypted data itself adds another layer of mystery .'}]",neutral
Is Bitcoin on the Verge of a Massive Rally Following the Surge to $46K? (BTC Price Analysis),2024-01-08 18:26:44+00:00,"[{'summary_text': 'Technical Analysis By TradingRage The Daily Chart On the daily timeframe, the price has been consolidating above the $40K level for the last few weeks . The Relative Strength Index is also demonstrating values above 50%, pointing to the fact that the momentum is in favor of the buyers . A valid breakout would pave the way for a bullish continuation toward the key $48K resistance level . This can be interpreted as a good sign, as it indicates that while the futures market is not overheated anymore'}]",very positive
Bitcoin (BTC) Price to Decline in Next 2 Weeks: Matrixport,2024-01-08 16:08:42+00:00,"[{'summary_text': 'Matrixport has issued a warning predicting a 7% decline for Bitcoin in the next two weeks, citing that “one of its trading signals” has turned bearish for the first time since August 2023 . This cautionary outlook follows previous statements by the company’s analysts, who anticipate that the U.S. Securities and Exchange Commission will reject all spot Bitcoin exchange-traded funds (ETFs) in January . The paper suggested that smart money could leverage the anticipated approval for profit-taking .'}]",negative
Here’s How Much XRP There’s Currently on Binance,2024-01-08 14:34:28+00:00,"[{'summary_text': 'TL;DR Binance’s latest Proof-of-Reserves (PoR) Binance report shows that XRP customer net balances equal over 2.7 billion tokens (over $1.5 billion calculated at current rates) In turn, the exchange’s Net balances stand at more than 2.8 billion assets, resulting in a 104.26% ratio . In other words, it ensures that customers’ funds are fully backed and that the company operates with financial integrity .'}]",positive
"These 3 Catalysts Will Drive Crypto in 2024, According to ITB",2024-01-08 14:30:13+00:00,"[{'summary_text': 'The year has started where 2023 left off, and the crypto community is abuzz with excitement and anticipation of the upcoming trends . The spot Bitcoin ETF launch has already begun to drive activity in the crypto market . At the time of writing, BTC had rallied to $45,000, and crypto traders had gambled over $3.25 million on the outcome of the United States Securities and Exchange Commission’s decision on the products .'}]",positive
Bitcoin (BTC) Surge Puts 90% of Holders in Profit Territory After Two Years By U.Today,,"[{'summary_text': 'The surge in profitability comes amid a roller coaster 24 hours for Bitcoin, marked by a false report of official approval of the first U.S. Bitcoin spot ETF . As of the latest data, the current price of Bitcoin stands at $45,488, representing a 2.25% decline in the past 24 hours . The tumultuous ride began when a hacker exploited a SIM swap attack to publish a misleading announcement on the (formerly Twitter)'}]",negative
Ethereum (ETH) at Critical Juncture as Michaël van de Poppe Predicts Bullish Breakout By U.Today,,"[{'summary_text': 'In the ever-evolving landscape of the cryptocurrency market, Ethereum (ETH) finds itself at a critical juncture . In a recent tweet, van de Poppe conveyed his insights, indicating that Ethereum was approaching the low of 2022 and was likely to absorb liquidity at that level . According to the most recent data, Ethereum is presently valued at $2,294, indicating a noteworthy 3.04% uptick in the past 24 hours . The trading volume within this period has experienced a substantial'}]",positive
Bitcoin (BTC) 30% Pump Will Break All-Time High: Here's Potential Date By U.Today,,"[{'summary_text': ""Bitcoin (BTC) 30% Pump Will Break All-Time High: Here's Potential Date BTC/USD -3.41% Add to/Remove from Watchlist U.Today - is on the brink of a historic moment . Market makers, having taken a step back, have primed the market for a dramatic move . The announcement of the ETF in the following week could catalyze a wick above the all-time high with just a few outsized orders . A glance""}]",positive
X confirms SEC account was compromised in Bitcoin ETF debacle By Investing.com,,"[{'summary_text': 'Social media platform X said the Securities and Exchange Commission’s account was compromised . In a post, the social media platform said that the account had not two-factor authentication enabled at the time of the breach . The announcement comes just a few hours after the SEC’s official X account issued a fake post .'}]",very negative
Ault Alliance to Begin Holding Bitcoin on Its Balance Sheet By Investing.com,,[{'summary_text': 'Ault Alliance (AULT) will start holding up to 20 percent and minimum of five percent of the Bitcoin it mines on its balance sheet . This strategic move is part of the Company’s broader plan to adjust its asset management approach to ultimately create a more valuable enterprise and drive stockholder value . Around 77 Bitcoin were mined at Sentinum’s data center in Michigan .'}],neutral
Legendary Trader Peter Brandt Shares Crucial Bitcoin (BTC) Chart By U.Today,,"[{'summary_text': 'Legendary Trader Peter Brandt shares Crucial Bitcoin chart with a yet unseen ""pattern"" dedicated to SEC Chair . Brandt\'s chart shows a stark candlestick formation that characterizes the wild event . The chart reflects the market\'s knee-jerk reaction to the news .'}]",neutral
Peter Schiff Releases Crucial Bitcoin (BTC) Warning That Might Make Sense By U.Today,,"[{'summary_text': ""Peter Schiff releases Crucial Bitcoin (BTC) Warning That Might Make Sense BTC/USD -3.41% Add to/Remove from Watchlist U.Today - A sudden spike in price to near $48,000 was abruptly followed by a plunge to around $45,000 . Schiff suggests that with the market's anticipation of an actual ETF approval looming, the recent volatility might be a precursor to a more substantial market disappointment .""}]",negative
SEC's X Account Hack: What It Means for Spot Bitcoin ETF Approval By U.Today,,"[{'summary_text': ""SEC's X Account Hack: What It Means for Spot Bitcoin ETF Approval BTC/USD -3.41% Add to/Remove from Watchlist U.Today - The financial world was rattled on Jan. 9 when the official X account of the United States Securities and Exchange Commission was to post fake news about the approval of a spot Exchange Traded Fund . This development has raised fresh concerns about whether the market regulator will go ahead with its plans to approve the product as anticipated by the community""}]",negative
'Rich Dad Poor Dad' Author Kiyosaki Gives Epic Bitcoin Price Prediction By U.Today,,"[{'summary_text': ""The SEC's official X account faced a security breach on Tuesday . An unauthorized post claimed that the agency had greenlit the launch of the ETF . Notably, Kiyosaki highlighted his satisfaction with having invested in Bitcoin years ago .""}]",negative
BitPay adds new cryptocurrencies for retail transactions By Investing.com,,"[{'summary_text': 'BitPay has expanded its digital currency offerings, enabling transactions with several new cryptocurrencies at high-end retailers . The company now supports (UNI), Chainlink (LINK), (BNB), and Basic Attention Token (BAT) alongside its existing options . This move allows customers to use these currencies at notable retailers such as Gucci and Ralph Lauren (NYSE:)'}]",neutral
Will This Shiba Inu (SHIB) Price Pattern Start Reversal? By U.Today,,[{'summary_text': 'U.Today is currently showcasing a price pattern that could lead to a reversal . The 200-day EMA is a critical long-term indicator that many investors watch to determine market trends . A break below this line can often suggest bearish sentiment .'}],negative
Ethereum (ETH) Loses Fight Against Bitcoin (BTC): No Alt Season? By U.Today,,"[{'summary_text': 'The current state of the ETH/BTC chart raises the question: is an alt season, where alternative cryptocurrencies surge in value, imminent? Traditionally, alt seasons occur when altcoins gain significantly against both Bitcoin and the USD, but the current data suggests that the market may not be close to it . A breakthrough at this point could signal the resumption of the bullish rally that Solana has been known for, suggesting a strong start to the year .'}]",positive
Dogecoin price fluctuates on false report of mascot's death By Investing.com,,"[{'summary_text': ""Misinformation pushed Dogecoin's price up to 8.3 cents, marking a 9% surge . The false news, disseminated by an unidentified user, led to over $674,000 in liquidations as traders reacted to the unverified claim .""}]",very positive
Michael Saylor Endorses Bitcoin Using Stephen King's 'Shawshank Redemption' By U.Today,,"[{'summary_text': ""Michael Saylor Endorses Bitcoin Using Stephen King's 'Shawshank Redemption' BTC/USD -3.42% Add to/Remove from Watchlist U.Today - Vocal evangelist has taken to X to endorse Bitcoin in an unusual manner . In Saylor’s video, Andy Dufresne puts on a gramophone record and, instead of the opera, starts to hear and enjoy Saylor's Bitcoin message, taken from one of""}]",neutral
"Here's Catalyst for BTC's Potential 6,000% Rise, 9.25 Trillion SHIB May Be Burned This Month, $1.19 Million Sent to Satoshi BTC Wallet in Mysterious Transfer: Crypto News Digest by U.Today By U.Today",,"[{'summary_text': ""U.Today has prepared a summary of the top three news stories over the weekend . According to Ali, the Bitcoin halving event has historically triggered major price surges of BTC . To back up his words, Ali attached a chart showing Bitcoin's price performance 365 days after past halves . This amount of meme coins likely to come from the $1 million worth of BONE .""}]",positive
XRP Lawyer Mocks Jim Cramer’s Bizarre Bitcoin Forecast By U.Today,,"[{'summary_text': 'XRP Lawyer Mocks Jim Cramer’s Bizarre Bitcoin Forecast BTC/USD -3.41% Add to/Remove from Watchlist U.Today . Cramers said Bitcoin was ""topping out,"" just days after claiming the cryptocurrency was ""here to stay"" At the time of writing, Bitcoin was up by 4.31% to $46,855 . On Wednesday, the SEC will have its first deadline to approve or reject one of the ETF applications .'}]",positive
"DOGE and BTC Head to Literal Moon, Bitcoin Made History With This Bullish Pattern, 546 Billion SHIB Withdrawn from Binance: Crypto News Digest by U.Today By U.Today",,"[{'summary_text': 'DOGE and BTC Head to Literal Moon, Bitcoin Made History With This Bullish Pattern . Bitcoin (BTC) just made history with this bullish pattern . This is the first time Bitcoin has formed a ""golden cross"" pattern on its weekly chart .'}]",very positive
Bitcoiner Michael Saylor Posts Reference to Elon Musk's DOGE Tweet By U.Today,,"[{'summary_text': ""Michael Saylor Posts Reference to Elon Musk's DOGE Tweet BTC/USD -3.41% Add to/Remove from Watchlist DOGE/USD +0.62% Add to or Remove from watchlist U.Today . Saylor and Musk both referring to “The Godfather” “Bitcoin is the offer you can't refuse,” wrote Saylor in his tweet, adding an image of Marlon Brando playing the Godfather, holding Bitcoin in his hand . At the time of this writing""}]",positive
Cryptoverse: Bitcoin derivatives traders bet billions on ETF future By Reuters,,"[{'summary_text': ""In the bitcoin options market, at-the-money implied volatility is at its highest levels in a year . Open interest has steadily increased since October and leapt to $19.2 billion in early December . It's now between $17 billon and $18 billion, up from the $9.5-$14.5 billion range .""}]",positive
"Ethereum (ETH) Bullish Momentum to Begin at These Crucial Levels, Says Top Analyst By U.Today",,"[{'summary_text': 'Reuters Ethereum (ETH) Bullish Momentum to Begin at These Crucial Levels, Says Top Analyst ETH/USD +7.25% Add to/Remove from Watchlist U.Today . As of the latest market data, Ethereum is at $2,262, reflecting a modest 1.22% increase over the past 24 hours . The trading volume for ETH has notably surged by 75.24% in the last 24 hours, reaching $9,626,210,522, indicating the volatility inherent in the market'}]",positive
BlackRock vs. ARK Invest: Bitcoin ETF Battle Details Exposed by Top Expert By U.Today,,"[{'summary_text': 'Reuters BlackRock vs. ARK Invest: Bitcoin ETF Battle Details Exposed by Top Expert ARKK -0.42% Add to/Remove from Watchlist BTF +2.39% Add to or Remove From Watchlist U.Today . The filings have unveiled previously undisclosed commissions, sparking a competitive atmosphere within the cryptocurrency exchange-traded funds (ETFs) sector .'}]",neutral
"Valkyrie expects SEC nod for Bitcoin ETF, trading could start Thursday By Investing.com",,"[{'summary_text': ""Valkyrie is poised to introduce its spot Bitcoin ETF under the ticker symbol BRRR . The firm has a solid footing in digital asset management . He has expressed a positive outlook on the SEC's imminent decision .""}]",positive
Ethereum (ETH) at Critical Juncture as Michaël van de Poppe Predicts Bullish Breakout By U.Today,,"[{'summary_text': 'In the ever-evolving landscape of the cryptocurrency market, (ETH) finds itself at a critical juncture, with renowned crypto analyst Michal van de Poppe a potential bullish breakout . According to the most recent data, Ethereum is presently valued at $2,294, indicating a noteworthy 3.04% uptick in the past 24 hours . In the aftermath of this modest rally, ETH has observed $21.60 million in short liquidations and $11.79 million in long liquidations,'}]",positive
InQubeta presale raises over $8 million amid crypto market optimism By Investing.com,,"[{'summary_text': ""InQubeta, an emerging decentralized finance (DeFi) platform, has successfully completed a significant funding milestone, raising over $8 million through a presale of its native QUBE tokens . The presale event saw more than 700 million tokens sold, each priced at $0.01925, with investors drawn to the platform's deflationary token model and the broader market's positive sentiment .""}]",neutral
Binance adds gaming blockchain token Xai with leverage options By Investing.com,,"[{'summary_text': ""Xai aims to revolutionize web3 gaming by facilitating in-game item trades without the necessity for crypto wallets . The listing follows its inclusion in Binance's Launchpool, a platform that allows users to stake their tokens for rewards, where it was featured from last Thursday to Sunday .""}]",neutral
Bitcoin (BTC) 30% Pump Will Break All-Time High: Here's Potential Date By U.Today,,"[{'summary_text': ""Bitcoin (BTC) 30% Pump Will Break All-Time High: Here's Potential Date BTC/USD -3.33% Add to/Remove from Watchlist U.Today . Market makers have primed the market for a dramatic move . The announcement of the ETF in the following week could catalyze a wick above the all-time high with just a few outsized orders . A glance at the chart indicates that the 50-day moving average is well below the current price, acting as""}]",positive
Analysts who predicted Bitcoin's 2023 rally are out with their forecast for 2024 and 2025 By Investing.com,,"[{'summary_text': 'Analysts at Compass Point Research and Trading attributed the price surge to factors like tighter BTC coin supply, increased enthusiasm for spot BTC ETF approvals, and expectations of interest rate cuts in 2024 . Looking forward to this year, analysts see Bitcoin prices averaging $64,400 and ending the year at $85,000 . This compares to their previous forecast for $50,900 and $75,000, respectively .'}]",very positive
XRP Ledger wallet addresses exceed 5 million amid market recovery By Investing.com,,"[{'summary_text': ""The XRP Ledger has reached a new high with over 5 million wallet addresses registered . This milestone aligns with a period of resurgence in the broader cryptocurrency market, highlighted by 's ascent above the $45,000 threshold'""}]",positive
Will This Shiba Inu (SHIB) Price Pattern Start Reversal? By U.Today,,[{'summary_text': 'U.Today - is currently showcasing a price pattern that could lead to a reversal . The 200-day EMA is a critical long-term indicator that many investors watch to determine market trends . A break below this line can often suggest bearish sentiment .'}],negative
"Bitcoin rises 6.8% to $46,943 By Reuters",,"[{'summary_text': ""Bitcoin, the world's biggest and best-known cryptocurrency, is up 13.2% from the year's low of $41,454 on Jan. 3 . Ether rose 5% to $2,338.6 on Monday, adding $115.8 to its previous close .""}]",very positive
Cryptocurrency News,,"[{'summary_text': 'Shiba Inu has not been immune to wild price swings we saw in the last few days . A look at price chart indicates a sharp downtrend, with the coin breaching the 50-day...'}]",negative
Cryptocurrency News,,"[{'summary_text': 'BTC is on its way to hitting a fresh record high in 2024, before rising to as much as $150,000 in 2025, analysts say . ""We are about to embark on a...'}]",very positive
Cryptocurrency News,,[{'summary_text': 'Expectations are rising ahead of the Jan. 10 deadline for the U.S. Securities and Exchange Commission to decide whether to give its first blessing .'}],positive
"Futures broadly higher, Bitcoin swings after fake SEC post",,"[{'summary_text': ""False social media post sparks wild swings in the world's most recognizable cryptocurrency . By 05:20 ET, the contract were unchanged, had added 7 points or 0.1%, and had gained 0.4% . The main averages on Wall Street were mixed at the close of trading in the prior session .""}]",negative
Bitcoin: Boom or Bust in 2024?,,"[{'summary_text': 'BTC/USD -3.39% Add to/Remove from Watchlist Regular readers know we primarily use the Elliott Wave Principle (EWP) to anticipate when these highs and lows should happen . We use objective standards, i.e., the standard Fibonacci-based impulse pattern, which applies most of the time . However, just because the standard fibonac-based pattern is not followed doesn’t mean the EWP does not work—quite the contrary .'}]",neutral
Bitcoin Bulls Turning Euphoric Ahead of ETF Listing? Key Levels to Watch,,"[{'summary_text': ""SEC may officially approve applications today to allow spot bitcoin ETFs to be traded . In 2024, financial markets are keenly focused on anticipating the potential launch of the first ETF based on Bitcoin's spot price . The imminent launch of Bitcoin ETF has generated widespread speculation about its timing .""}]",positive
Cryptocurrency News,,"[{'summary_text': 'Ault Alliance, Inc. (NYSE American: AULT) will start holding up to 20 percent of Bitcoin it mines on the Investing.com 4 hours ago.'}]",neutral
Bitcoin Bulls Turning Euphoric Ahead of ETF Listing? Key Levels to Watch,,"[{'summary_text': 'SEC may officially approve applications today to allow spot bitcoin ETFs to be traded . This week, financial markets are keenly focused on , especially anticipating the launch of the first ETF based on Bitcoin\'s spot price . In 2024, our AI-powered ProPicks provides six market-beating stock-picking strategies, including the flagship ""Tech Titans""'}]",positive
Factbox-Companies disclose expected fees for spot bitcoin ETFs ahead of SEC decision By Reuters,,"[{'summary_text': 'A spot crypto ETF would track the market price of the underlying crypto asset, giving investors exposure to the token without having to buy the currency . The SEC is expected to announce its decision on spot bitcoin ETF applications as early as this week . It had previously denied all such applications, citing potential for fraud .'}]",positive
"Dollar gains on yen, Bitcoin slides after SEC hack By Reuters",,"[{'summary_text': 'In cryptocurrencies, bitcoin fell after being whipsawed late on Tuesday after a social media message on the U.S. Securities and Exchange Commission’s (SEC) account claimed the regulator had approved bitcoin exchange traded funds (ETFs), but was later revealed to have been made by an unauthorized person . The consumer price index (CPI) on Thursday is the next likely driver of dollar direction . In crypto, bitcoin was last down 2.18% at $45,147 .'}]",negative
Cryptocurrency News,,"[{'summary_text': 'CryptoGlobe A savvy cryptocurrency whale has managed to accumulate 1,750 Bitcoin ($BTC) from leading cryptocurrency trading platform Binance in just two days .'}]",positive
X confirms SEC account was compromised in Bitcoin ETF debacle By Investing.com,,"[{'summary_text': 'Social media platform X said the Securities and Exchange Commission’s account was compromised . In a post, the social media platform said that the account had not two-factor authentication enabled at the time of the breach . The announcement comes just a few hours after the SEC’s official X account issued a fake post .'}]",negative
"TSX, Wall Street open higher, fake Bitcoin SEC post",,"[{'summary_text': 'TSX, Wall Street Indices and Wall Street indices open higher today . False social media post sparks wild swings in the world\'s most recognizable cryptocurrency . The price of Bitcoin was lower on Wednesday after a false post on social media platform X ""'}]",negative
Cryptocurrency News,,"[{'summary_text': 'CryptoGlobe The price of the native token of the XRP Ledger could surge to a high of $1.1 in the near future, based on its governing price pattern that has been around for more than a...'}]",positive
"Dollar gains before inflation data, bitcoin slips By Reuters",,"[{'summary_text': 'In cryptocurrencies, bitcoin dipped but remained near its strongest level since April 2022 . It has recovered from some of that weakness this year, with the sell-off seen by some as overdone heading into year-end .'}]",negative
Bitcoin ETF: SEC Has 4 Days to Disclose Events Around Fake Approval News,2024-01-10 11:16:19+00:00,"[{'summary_text': 'SEC attributed this blunder to a ‘compromised’ tweet, prompting lawyer Stuart Alderoty to demand a public explanation in line with the agency’s own standards . Amid the SEC’s ‘slipup’ and with the ETF approval deadline looming, speculation has arisen about whether the approval will be delayed for further investigation . The SEC has not approved the listing and trading of spot bitcoin exchange-traded products .'}]",negative
‘Pushing The Envelope’: ASIC Chair Unveils Aggressive New Litigation Strategy,2024-01-10 03:37:49+00:00,"[{'summary_text': 'ASIC plans to intensify enforcement in 2024 across sectors like crypto, financial services, and AI, targeting exploitative practices and potentially inspiring new regulations . The watchdog faces criticism for failing to alert the public about HyperVerse’s risks, a scheme exposed by The Guardian as a Ponzi operation with a fictitious CEO . This and recent ETF fake news in the US highlight the scrutiny even regulators face .'}]",neutral
"Bitcoin Skyrockets to Near 2-Year Highs, Awaiting Spot ETF Decision",2024-01-10 03:28:55+00:00,"[{'summary_text': ' Amid the furor surrounding the SEC’s fake tweet approving spot Bitcoin, the coin’s price surged to a nearly two-year high of USD $48K (AUD $71.8K) The market has had trigger fingers in response to any news on the impending crypto fund'}]",very positive
Valkyrie CIO Says XRP and Ethereum Spot ETFs Could Be Next,2024-01-10 03:21:31+00:00,"[{'summary_text': 'Steve McClurg of Valkyrie believes that the approval of a Spot Bitcoin ETF could lead to the creation of other asset ETFs such as those for Ethereum or Ripple (XRP) Some are now calling for the resignation of SEC Chair Gary Gensler, and others speculating about an imminent approval . In his view XRP and Ethereum are more of interest for retail investors but he wouldn’t rule out anything at this stage – noting that Grayscale has added ‘Ripp'}]",positive
Bitcoin To the Moon or Lost in Space? Moon Mission in Peril,2024-01-10 02:37:13+00:00,"[{'summary_text': 'A space mission launched on Monday morning to get a physical Bitcoin to the moon experienced propulsion problems hours after takeoff . The company behind the launch now says there is no chance the craft will safely land on the lunar surface . Given the propellant leak, there is, unfortunately, no chance of a soft landing on the Moon .'}]",neutral
SEC Didn’t Approve ETF Yet as FUD Over Hacked Tweet Spreads,2024-01-10 02:30:32+00:00,[{'summary_text': 'The SEC posted a tweet earlier this morning supposedly announcing a spot Bitcoin ETF approval . It turns out that SEC’s account was compromised by an unknown hacker . The tweet promptly deleted once control had been returned .'}],negative
Chainlink Unveils Thrilling New Integrations,2024-01-10 00:00:58+00:00,"[{'summary_text': 'Hypersign is a decentralised identity platform focusing on user control over personal data and fostering digital trust . LandX, a RWA application in the DeFi space, operates as a DAO . In 2024, blockchain interoperability is key, with Cosmos and Chainlink leading .'}]",neutral
"SEC Social Media Hacked, Spreads False News on Bitcoin ETF Approval",2024-01-09 22:51:10+00:00,"[{'summary_text': 'Gary Gensler announced a compromise of the SEC’s social media account . The SEC has not approved the listing and trading of spot bitcoin exchange-traded products . This is a developing story, and more information will be added shortly .'}]",neutral
Industry Experts Anticipate No Institutional Demand for Ethereum ETFs,2024-01-09 22:03:09+00:00,"[{'summary_text': 'Institutional Interest in Ethereum ETFs Raoul Pal, CEO of Real Vision, highlighted a crucial difference between Bitcoin and Ethereum . This distinction is vital for institutional investors, who are not just looking for price appreciation but also additional benefits . Pal argued that institutions may prefer to own Ethereum directly because holding the asset allows them to stake it and earn yields .'}]",neutral
Here’re the Top Trending Cryptocurrencies in the Past 24 Hours,2024-01-09 20:02:06+00:00,"[{'summary_text': 'The past 24 hours has seen several cryptocurrencies making significant strides in the market . Leading the charge is Bitcoin (BTC), Stacks (STX), and a host of others, each making headlines for various reasons . These cryptocurrencies are pivotal in understanding current interest levels and forecasting potential market changes . This decision, expected by industry giants like BlackRock and Standard Charter Bank as early as January 11, could usher in a new era for Bitcoin .'}]",very positive
What Will Happen If Bitcoin Price Reaches $1 Million,2024-01-09 19:21:06+00:00,"[{'summary_text': 'In a recent, intriguing statement, Samson Mow boldly predicted a meteoric rise in Bitcoin’s value to $1 million, suggesting this could happen “in days to weeks” This forecast, while startling, is not baseless . Mow said that Bitcoin often defies expectations and causes disruption, especially when it’s least expected . This is a process that would be severely impacted by such an abrupt price hike .'}]",positive
Will Solana (SOL) vs Ethereum (ETH) Network War be Decided by Developers?,2024-01-09 18:52:09+00:00,"[{'summary_text': 'Solana’s 2023 developer report revealed the network has 2,500-3,000 monthly active developers . The network also retained over 50% of its developers last year . Over half of the developers attracted to Solanan’s Hacker Houses had three years of experience or more . Around $1.38 billion is currently locked in the ecosystem .'}]",positive
Analyst Reveals Ripple’s Legal Challenges While XRP Ledger Faces DDOS Attack,2024-01-09 17:02:12+00:00,"[{'summary_text': 'The XRP Ledger (XRPL), a prominent network backed by Ripple, is reportedly experiencing a distributed denial-of-service (DDOS) attack . This news comes amid ongoing discussions about Ripples’ legal uncertainties and their implications for the broader cryptocurrency market .'}]",negative
Veteran Trader Ran Neuner Predicts Altcoin Price Drop,2024-01-09 13:03:00+00:00,"[{'summary_text': 'Crypto Banter Foresees Altcoin Dip Ran Neuner said the Spot Bitcoin ETF approval would lead to a massive selling event for the altcoin market . This phenomenon happens because traders and investors often buy altcoines in anticipation of a positive news event or development, expecting that the news will drive the price up . Neuner’s followers seem to have very different opinions .'}]",negative
Ripple CTO David Schwartz Confronts Buyback Rumours,2024-01-09 05:04:06+00:00,"[{'summary_text': 'Ripple’s Chief Technical Officer, David Schwartz, has dampened persistent rumours of a looming large-scale XRP buyback . Mr. Huber predicted that if he was right about the scale of this quarter’s buyback it could trigger a 30-60% price spike over a few days .'}]",positive
Aussie Crypto Founder says Ethereum Poised for Exciting 2024,2024-01-04 05:42:10+00:00,"[{'summary_text': 'Kain Warwick: Ethereum to Outperform Bitcoin in 2024 . He says ETH focused on hard work and development without major catalysts . Warwick says Ethereum’s superior technology, engineering talent, and platform dominance make it the preferred choice for institutions exploring crypto .'}]",positive
Solana Phone Sparks Arbitrage Buzz: Is it Up for Grabs in Australia?,2023-12-18 03:43:28+00:00,"[{'summary_text': 'Buyers see a lucrative arbitrage opportunity with a free airdrop of Bonk tokens, prompting a potential price increase for the phone as hinted by Solana co-founder Anatoly Yakovenko . The unexpected sales have led to a sell-out in the US and a purchase limit of one per household.'}]",neutral
"AUSTRAC Reveals Regulatory Priorities, Targets Crypto",2023-12-14 05:22:19+00:00,"[{'summary_text': 'AUSTRAC Regulatory Priorities 2024 document outlines enhanced focus on Digital Currency Exchanges and other sectors like banking, gambling, and remittance . This appears to be driven by rapid growth, compliance challenges with AML/CTF regulations, and exposure to diverse criminal threats . The Australian Transaction Reports and Analysis Centre, just released its 2024 regulatory priority focus .'}]",negative
